Open,High,Low,Volume,Close
10541.5,10708,10333.40039,46700,10507.47754
10609.90039,10644.2002,10406.9502,27900,10437.62891
10287.84961,10314.25,10101.2002,47900,10153.03223
10193.54981,10266.4502,10130.29981,44100,10237.63086
10205.4502,10222.65039,10089.25,30400,10101.98242
9983.650391,10222.09961,9944,35500,10191.08203
10215.65039,10254.04981,10112.5,27700,10231.53125
10257.09961,10321.5,10107.79981,34800,10205.08203
10311.9502,10321.09961,10180.84961,23100,10263.08106
10287.34961,10310.29981,10187.79981,18000,10213.78125
10242.09961,10296.79981,10200.59961,15200,10245.33106
10307.59961,10395.15039,10307.59961,24100,10348.67969
10360.7002,10386.65039,10113.79981,25800,10135.58203
10169,10229.4502,10064.75,28300,10203.63184
10324.34961,10618.84961,10296.25,26100,10575.07715
10548.34961,10630.15039,10520.29981,20200,10609.47656
10515.29981,10525.7002,10419.09961,24200,10428.17871
10429.29981,10584.75,10429.29981,16400,10554.22656
10508.9502,10711.65039,10471.4502,21300,10683.37598
10742.15039,10768.9502,10611.75,19100,10666.62598
10659.2002,10758.65039,10659.2002,20100,10730.27539
10793.59961,10793.59961,10688.9502,23200,10764.5752
10705.4502,10836.2002,10613,24100,10651.82617
10661.40039,10936.75,10661.40039,36100,10928.92285
10987.59961,11122.54981,10899.40039,46400,11098.6709
11147.59961,11303.2002,11117.25,37200,11278.21875
11357.90039,11947.5,11332.59961,70900,11884.61231
11784.54981,12157.90039,11784.54981,60300,12107.95898
12132,12285.4502,11994.84961,55500,12043.01074
11997.84961,12142.90039,11887.75,33100,12023.95996
12062.34961,12308.7002,12062.34961,34400,12141.30859
11984.5,12090.04981,11867.15039,34700,12055.70996
12093.2002,12268.75,12052.34961,38200,12114.70898
12190.84961,12256.4502,12132.40039,33300,12186.4082
12160.65039,12160.65039,11989.9502,22800,12017.11035
12083.4502,12123.15039,12043.40039,33500,12092.20898
12134.65039,12423,12134.65039,31000,12408.00586
12403.65039,12523.7002,12394.29981,25000,12449.85547
12529.4502,12570.59961,12469.15039,36200,12518.2041
12560.90039,12767.5,12513.09961,55400,12604.80371
12693.25,12787.5,12633.29981,48600,12754.55176
12855.5,12869.34961,12660.04981,40600,12741.90137
12806.15039,12806.15039,12509.9502,37900,12588.35352
12674.34961,12740.15039,12542.34961,40400,12715.15234
12749.84961,12754.75,12518,35400,12563.70313
12523.29981,12656.5,12430.84961,29600,12551.55469
12562.34961,12615.34961,12439.54981,27600,12506.30469
12593.15039,12957.54981,12548.4502,40100,12937.25
12937.40039,13055.59961,12881.2002,38400,12949.25
12822.25,12934.90039,12777.9502,25000,12840.05078
12830.5,12831.59961,12537.7002,27100,12579.75391
12557.40039,12727.04981,12514.75,30600,12563.00391
12564.54981,12819.09961,12514.79981,32600,12787.10156
12845.29981,13002.75,12838.84961,30100,12958.34961
12989.54981,13040.15039,12913.90039,24800,12986.94824
